alert_id,transaction_id,alert_type,alert_date,severity,resolved
1,3,location_mismatch,2024-06-26 23:58:17,low,False
2,8,unusual_amount,2025-01-28 04:01:02,high,True
3,9,unusual_amount,2024-08-09 11:01:21,medium,False
4,10,multiple_failures,2024-07-16 23:13:17,high,False
5,14,unusual_amount,2024-07-02 15:40:03,medium,True
6,16,multiple_failures,2024-01-02 02:58:08,low,False
7,22,multiple_failures,2025-02-03 05:28:47,medium,False
8,29,unusual_amount,2024-06-17 06:41:24,medium,True
9,41,multiple_failures,2024-03-30 11:32:31,high,False
10,45,multiple_failures,2024-11-05 20:07:17,low,True
11,49,unusual_amount,2024-03-29 20:56:06,low,True
12,53,rapid_succession,2025-02-23 16:03:08,low,True
13,62,location_mismatch,2024-03-11 23:14:51,high,False
14,64,unusual_amount,2024-09-29 21:54:16,medium,True
15,72,unusual_amount,2024-07-04 02:47:53,high,True
16,74,rapid_succession,2025-02-14 02:44:53,high,False
17,75,rapid_succession,2024-11-04 00:07:18,high,False
18,78,multiple_failures,2025-01-07 11:22:50,high,True
19,81,location_mismatch,2024-12-06 08:53:12,medium,True
20,82,location_mismatch,2024-10-17 09:51:09,high,True
21,88,location_mismatch,2024-11-11 03:58:23,high,False
22,89,unusual_amount,2024-08-19 12:36:24,medium,True
23,99,location_mismatch,2025-03-11 09:27:57,high,False
24,101,unusual_amount,2024-02-13 21:46:50,medium,True
25,104,multiple_failures,2024-11-18 08:51:26,high,False
26,106,unusual_amount,2024-08-03 22:03:48,low,False
27,109,multiple_failures,2025-03-01 16:30:47,medium,True
28,110,multiple_failures,2025-01-22 20:53:24,high,False
29,115,multiple_failures,2024-04-21 23:50:55,low,True
30,120,multiple_failures,2024-01-07 22:49:51,medium,False
31,121,location_mismatch,2024-06-04 00:33:53,high,True
32,129,rapid_succession,2024-11-16 07:08:01,medium,True
33,131,multiple_failures,2024-03-19 09:38:20,medium,True
34,132,unusual_amount,2024-09-17 11:31:42,medium,True
35,133,rapid_succession,2024-05-07 16:47:23,low,True
36,135,rapid_succession,2024-09-22 13:42:48,high,False
37,140,location_mismatch,2025-02-13 18:52:56,medium,True
38,144,location_mismatch,2024-04-29 21:00:29,high,True
39,155,location_mismatch,2024-09-29 01:40:58,high,False
40,167,rapid_succession,2024-03-10 05:46:58,low,False
41,168,multiple_failures,2024-10-26 16:25:37,high,False
42,171,unusual_amount,2024-07-04 22:08:27,low,False
43,172,unusual_amount,2024-10-09 00:49:23,medium,False
44,177,rapid_succession,2024-08-15 00:43:13,low,False
45,180,unusual_amount,2024-12-07 14:33:56,low,True
46,183,unusual_amount,2025-01-19 18:12:23,high,False
47,190,location_mismatch,2025-03-11 04:36:31,high,True
48,193,unusual_amount,2025-01-18 10:50:40,high,True
49,194,unusual_amount,2025-01-09 00:37:39,high,False
50,196,rapid_succession,2024-06-03 17:30:12,high,True
51,199,rapid_succession,2025-03-03 17:13:03,medium,True
52,201,location_mismatch,2025-03-08 15:09:35,medium,False
53,202,location_mismatch,2025-03-14 11:02:24,low,True
54,203,multiple_failures,2024-04-26 23:50:53,medium,True
55,206,unusual_amount,2024-07-12 20:22:21,low,False
56,209,unusual_amount,2024-05-09 00:41:14,medium,True
57,210,location_mismatch,2024-10-13 15:14:46,high,True
58,212,rapid_succession,2024-11-23 05:15:44,medium,True
59,220,unusual_amount,2025-02-10 16:24:42,low,False
60,221,location_mismatch,2025-03-12 20:36:49,high,False
61,224,multiple_failures,2024-06-24 17:52:41,medium,False
62,225,multiple_failures,2024-11-02 04:02:17,high,True
63,227,multiple_failures,2024-09-04 15:15:28,high,False
64,230,unusual_amount,2024-01-26 01:03:01,medium,False
65,234,multiple_failures,2025-01-03 04:47:47,low,True
66,236,multiple_failures,2024-08-01 21:12:34,high,False
67,238,location_mismatch,2024-03-31 06:36:39,low,True
68,240,location_mismatch,2024-01-02 03:12:26,medium,False
69,241,location_mismatch,2024-09-20 06:05:46,medium,False
70,250,multiple_failures,2024-09-30 10:36:57,medium,True
71,255,location_mismatch,2024-11-23 08:47:53,high,False
72,258,multiple_failures,2025-01-16 18:11:33,high,True
73,260,unusual_amount,2024-08-19 08:42:19,low,False
74,264,multiple_failures,2024-04-26 03:15:53,medium,False
75,270,location_mismatch,2024-02-12 18:59:46,medium,False
76,271,unusual_amount,2024-01-15 10:58:42,high,True
77,273,rapid_succession,2024-02-19 09:14:17,low,True
78,276,unusual_amount,2025-03-19 20:52:09,high,True
79,287,location_mismatch,2025-01-20 13:26:40,high,False
80,294,multiple_failures,2024-08-22 07:05:00,medium,True
81,295,unusual_amount,2024-09-16 19:42:40,medium,True
82,299,rapid_succession,2025-01-11 22:49:37,medium,False
83,301,location_mismatch,2025-02-08 15:41:02,medium,True
84,312,location_mismatch,2025-01-21 13:37:11,medium,False
85,316,rapid_succession,2025-02-01 14:27:13,low,True
86,317,location_mismatch,2024-05-19 14:20:29,medium,False
87,321,multiple_failures,2024-08-10 07:44:17,low,False
88,322,rapid_succession,2024-05-04 15:07:27,low,False
89,331,location_mismatch,2024-02-11 18:48:33,low,False
90,345,multiple_failures,2024-05-29 11:41:59,high,True
91,346,unusual_amount,2024-02-16 01:17:05,high,True
92,350,rapid_succession,2024-10-27 22:50:44,low,False
93,360,multiple_failures,2024-06-07 05:05:18,high,False
94,362,location_mismatch,2024-01-10 18:41:08,low,True
95,363,rapid_succession,2024-02-26 08:10:37,medium,True
96,370,location_mismatch,2024-11-24 22:36:54,low,True
97,374,rapid_succession,2024-05-03 06:58:19,medium,False
98,375,multiple_failures,2024-10-26 05:55:17,high,True
99,378,rapid_succession,2024-10-21 10:23:29,low,False
100,387,location_mismatch,2024-03-31 15:27:39,low,True
101,394,location_mismatch,2024-12-30 03:06:54,low,True
102,396,multiple_failures,2024-01-07 19:16:29,medium,False
103,412,unusual_amount,2025-02-24 16:49:21,low,True
104,428,location_mismatch,2024-10-16 06:40:28,high,True
105,435,unusual_amount,2024-09-21 08:10:55,medium,True
106,442,location_mismatch,2024-02-10 23:10:58,high,False
107,445,multiple_failures,2024-04-17 22:57:37,low,False
108,447,location_mismatch,2024-11-10 14:14:59,high,True
109,449,rapid_succession,2024-11-02 17:57:03,high,True
110,450,rapid_succession,2024-02-16 02:25:24,high,True
111,455,rapid_succession,2024-06-16 08:01:19,low,True
112,460,location_mismatch,2024-03-19 02:09:17,low,False
113,462,location_mismatch,2024-01-12 19:15:47,high,True
114,465,unusual_amount,2024-07-13 07:50:16,low,False
115,467,location_mismatch,2024-10-14 07:07:37,high,False
116,472,location_mismatch,2024-05-01 13:21:39,low,False
117,475,rapid_succession,2024-06-28 06:50:30,medium,True
118,476,multiple_failures,2024-04-06 18:00:11,high,False
119,484,multiple_failures,2024-11-18 21:17:57,low,True
120,488,multiple_failures,2024-04-28 10:57:22,high,False
121,495,rapid_succession,2024-10-02 14:05:36,low,True
122,497,unusual_amount,2024-05-08 02:20:03,high,False
123,503,multiple_failures,2024-09-09 12:21:55,low,False
124,510,rapid_succession,2024-01-15 10:46:49,low,True
125,511,rapid_succession,2025-03-30 20:57:56,low,True
126,513,multiple_failures,2024-09-02 06:39:18,low,True
127,516,multiple_failures,2025-03-18 14:11:00,high,True
128,523,location_mismatch,2025-02-05 08:01:51,low,False
129,525,rapid_succession,2024-12-02 22:04:36,low,True
130,526,unusual_amount,2024-09-02 09:07:29,medium,True
131,527,location_mismatch,2024-01-28 04:20:33,medium,True
132,528,unusual_amount,2024-01-18 14:28:08,low,True
133,529,rapid_succession,2024-03-11 10:17:01,medium,True
134,530,unusual_amount,2024-09-06 08:05:32,high,True
135,549,location_mismatch,2024-05-26 04:22:00,high,False
136,550,location_mismatch,2025-03-16 18:01:42,medium,True
137,552,location_mismatch,2024-06-19 19:48:16,low,True
138,555,multiple_failures,2024-05-02 17:42:59,high,True
139,557,multiple_failures,2024-06-01 03:44:07,medium,True
140,564,multiple_failures,2024-03-13 04:38:46,high,True
141,566,location_mismatch,2024-07-13 13:57:32,low,True
142,569,location_mismatch,2025-03-04 18:25:01,low,True
143,571,rapid_succession,2025-03-26 10:19:24,low,False
144,573,multiple_failures,2025-01-27 10:17:19,medium,True
145,581,multiple_failures,2024-02-11 04:40:30,medium,False
146,583,multiple_failures,2024-12-23 19:21:47,high,True
