transaction_id,account_source_id,account_dest_id,transaction_type,amount,transaction_date,status,failure_reason,device_id,location
1,199,326,payment,22559.77,2025-03-04 16:12:55,completed,,175bb1e9-b18e-4de7-80c1-c7767c420a33,LévyBourg
2,374,324,payment,8473.54,2025-02-21 15:14:59,completed,,a0553065-eff9-4153-bf9c-31413afb69f0,Lopez
3,284,369,cash_in,339822.13,2025-03-13 07:36:31,completed,,1f55dab7-95e9-40a0-acd2-d8220d54cf67,Boulay-sur-Hoareau
4,499,565,transfer,17585.26,2025-01-31 06:59:02,completed,,85fe11f7-29d9-4976-a066-ce73be9e6ebd,Charrier
5,552,202,cash_out,146735.57,2025-01-23 04:50:56,completed,,d5bdff7c-e6ea-428a-a6fb-16f4a663bfc5,Françoisdan
6,647,32,airtime_purchase,57894.29,2025-03-29 21:06:41,completed,,ee138824-bb2c-4388-87c1-ae23a5ec4adf,Besson
7,553,484,cash_in,182972.73,2025-02-19 08:37:23,completed,,5524a59d-6c46-4158-8432-0618b52f0dc7,Blot
8,476,514,airtime_purchase,9064.5,2025-03-22 19:27:53,failed,technical_error,937ce41f-b127-4f61-a559-30b38abe0198,Monnier-sur-Diaz
9,776,527,cash_in,223165.6,2025-02-26 16:29:54,failed,suspicious,71f765d6-f1bb-4b41-b783-3f4c591e1790,Gilletnec
10,368,42,cash_in,380760.04,2025-03-23 00:02:59,completed,,ee5f5b33-8951-4d2c-8673-27403fbab47e,Legendre
11,531,370,payment,23510.23,2024-12-02 17:47:30,completed,,359b9374-2e7e-4ec6-ae8b-bc5cdec1383c,Bigotboeuf
12,721,534,cash_out,166990.97,2025-03-25 06:29:43,completed,,76f46704-714a-4170-bb66-3e6966101139,Pelletierdan
13,375,602,transfer,51671.12,2025-03-09 04:57:50,completed,,f4cfae35-0adb-4188-9077-384ae9c2baf4,Dubois
14,354,499,payment,-44364.24,2025-01-25 21:06:00,completed,,93b6dcef-7573-4e6b-91a7-b1ceb0a311da,Blanchard
15,236,79,airtime_purchase,64351.27,2025-03-17 12:10:05,completed,,a706c23d-8e90-418e-8de9-c02615ff9a96,Sainte Margaret-la-Forêt
16,122,677,cash_in,207365.38,2025-02-25 06:15:42,completed,,acc34b27-5251-4bd1-a888-25e0ae37b2f4,Dupont
17,605,166,payment,1171.18,2025-03-25 17:29:49,completed,,390efefa-69de-47ee-8979-8704b0862987,FontaineBourg
18,41,587,cash_in,28050.41,2024-12-25 17:26:27,completed,,204328ba-9611-4f01-98c4-3280846def02,Bonneau
