snapshot_id,account_id,snapshot_date,closing_balance
66380,303,2024-07-10,137247.95
124263,566,2024-12-09,53152.85
164412,731,2025-03-11,103299.63
161268,718,2025-01-11,257511.95
126783,577,2024-12-27,519806.07
118394,538,2025-03-27,414759.17
2614,16,2024-11-28,424269.0
70217,322,2025-01-22,30629.93
135290,610,2024-08-07,153145.63
87982,401,2025-01-06,457985.77
16530,81,2024-09-24,152803.28
36701,169,2024-06-06,268873.03
81670,373,2024-12-03,49158.23
46612,215,2024-09-19,289023.16
35959,165,2024-11-11,88782.79
123512,561,2025-03-25,6400.01
80336,369,2025-01-01,238220.99
45781,212,2024-08-19,267191.59
68140,311,2024-12-11,40661.1
174332,777,2024-09-19,4508.03
97696,446,2024-12-25,298014.83
99237,453,2024-09-07,378699.09
54365,254,2024-11-26,275801.82
142274,639,2024-11-26,395426.89
4125,25,2024-09-28,141276.59
19969,99,2025-02-22,461651.14
152883,684,2025-03-21,17642.29
151276,679,2025-03-25,159498.44
101340,462,2024-12-07,456802.42
94519,434,2024-07-24,227428.77
139888,630,2024-07-07,87581.06
1539,10,2025-02-17,176781.31
143003,643,2025-01-30,287865.87
83462,383,2025-02-23,511006.71
72263,332,2024-06-29,293663.5
155128,692,2024-11-11,403991.19
2019,13,2025-02-17,376908.05
135763,612,2024-09-10,114183.42
50120,233,2025-02-19,456355.97
150208,676,2024-09-28,366583.52
34750,159,2024-10-18,499330.62
116262,531,2024-07-20,27109.45
36,1,2024-12-14,260506.25
40571,186,2024-10-14,292746.43
49012,227,2024-05-07,14758.64
21701,106,2024-08-22,130514.32
154077,688,2025-01-31,219878.97
12890,64,2025-03-12,283893.38
120965,550,2024-10-07,305089.15
86414,395,2024-05-25,166679.07
36724,169,2024-06-29,268570.96
176522,786,2024-11-04,439470.45
119543,544,2024-06-19,177146.93
24146,116,2024-06-29,161801.23
54086,254,2024-02-21,264166.82
24626,118,2025-02-07,262710.48
104874,478,2024-10-07,374571.31
117751,536,2024-10-24,213543.1
103244,471,2025-03-07,72373.47
43659,201,2024-12-02,479101.56
12918,65,2024-06-10,96567.19
6492,36,2025-01-13,296012.63
173546,774,2024-10-17,435868.59
32182,147,2024-07-02,0.0
141364,637,2024-06-14,418027.86
8161,44,2024-12-16,122120.21
131382,593,2024-09-11,48382.81
68729,315,2025-03-08,10165.39
126438,576,2025-01-04,68722.28
162039,722,2025-01-31,365155.09
157735,705,2024-04-22,159533.44
57698,267,2024-11-15,155498.94
175389,781,2024-07-29,3620.11
155858,694,2024-10-22,0.0
152183,682,2024-11-11,374847.06
35764,163,2025-03-09,377169.25
153010,685,2024-07-22,388981.99
104099,474,2024-12-31,183852.52
176450,786,2024-08-24,447304.12
104119,474,2025-01-20,187847.61
50200,234,2024-07-25,408080.84
80464,370,2024-07-13,21639.15
94587,434,2024-09-30,208060.32
88118,402,2025-01-14,354896.76
103401,472,2024-08-30,75236.17
159753,714,2024-03-07,428054.58
92726,426,2025-02-24,451639.84
49371,228,2024-03-27,198491.21
33418,153,2024-04-21,340634.03
15185,75,2025-03-17,214034.94
153252,685,2025-03-21,408602.56
105787,482,2025-03-26,119452.3
94862,435,2024-07-14,494166.87
35874,165,2024-08-18,102544.71
143683,645,2025-02-08,187743.83
143640,645,2024-12-27,216587.88
45347,209,2025-01-17,205798.98
179491,798,2025-03-22,155940.49
117724,536,2024-09-27,200588.01
10357,52,2025-03-18,251885.22
14520,74,2024-03-23,160441.34
68856,317,2024-10-29,261873.51
129739,588,2024-05-04,55270.92
54115,254,2024-03-21,275071.16
134598,606,2024-12-29,412703.31
174304,777,2024-08-22,9781.48
119316,543,2025-01-01,6097.57
99722,455,2024-03-01,153871.31
142783,641,2025-03-26,114826.91
118717,540,2025-02-10,353294.9
92971,427,2024-10-25,317376.59
171450,766,2024-07-27,97384.83
140956,635,2025-02-28,136989.45
127793,580,2025-03-08,430491.95
60830,281,2024-11-21,204190.12
46323,213,2025-02-26,447963.0
24571,117,2025-02-19,273834.07
36908,169,2024-12-30,266440.99
21504,106,2024-02-07,121149.57
35162,160,2024-12-11,332251.54
82282,375,2025-01-02,191166.42
164788,732,2025-03-18,196039.16
70683,325,2024-11-11,260538.45
33971,155,2024-10-16,404452.48
12820,64,2025-01-01,300632.32
123852,564,2025-03-29,85624.76
126157,575,2024-12-03,439070.34
147470,664,2024-06-28,5153.21
107970,493,2024-07-12,478787.39
130766,591,2024-10-26,461059.0
150669,677,2024-12-07,184557.23
37408,171,2025-03-23,413819.31
106397,486,2025-03-28,20667.13
352,2,2024-09-23,226205.13
140983,635,2025-03-27,132366.68
10764,54,2025-03-15,5297.34
101869,464,2024-12-17,135117.73
177421,789,2025-02-13,462389.77
170296,761,2025-03-24,253432.76
125801,573,2025-03-10,189042.51
178626,793,2025-01-16,234258.59
140159,631,2024-10-27,400487.73
1417,8,2025-02-27,504413.19
99968,455,2024-11-02,114759.18
179042,797,2024-10-31,336481.57
71407,328,2024-09-28,474268.52
92744,426,2025-03-14,465033.92
162951,726,2024-04-04,283930.25
101331,462,2024-11-28,451856.34
136856,618,2024-12-02,138021.65
51500,239,2025-03-25,391577.35
146172,658,2024-09-18,168270.32
55094,257,2024-10-19,55014.02
55471,260,2024-06-17,281302.12
3947,24,2025-02-08,337101.22
64449,295,2024-09-01,508339.53
52860,246,2024-06-15,139980.57
41869,191,2025-01-21,82618.22
13836,69,2024-10-15,318733.79
174826,779,2024-05-06,308190.46
85072,389,2025-02-05,111222.81
68353,312,2024-11-27,194810.71
157113,699,2025-02-03,7320.61
144818,652,2024-10-03,241786.32
95189,436,2024-12-28,78314.67
58401,270,2024-10-08,393431.64
139350,628,2024-08-18,340027.76
177404,789,2025-01-27,476463.19
90882,417,2024-10-16,155888.77
143929,648,2025-03-19,63544.97
163880,728,2025-03-30,323689.34
163257,726,2025-02-04,280293.25
94506,434,2024-07-11,233780.23
10902,55,2025-01-03,260058.28
137947,622,2024-03-31,121441.29
38958,179,2024-12-15,401342.79
77211,353,2024-12-18,316364.67
54107,254,2024-03-13,267108.08
142761,641,2025-03-04,121114.72
151105,679,2024-10-05,197885.66
158576,707,2024-08-24,461744.86
60668,279,2024-12-29,329778.36
75937,349,2024-09-01,404256.46
21873,106,2025-02-10,139908.06
69199,318,2025-03-12,376803.75
164733,732,2025-01-22,201889.7
76259,350,2024-11-05,149802.12
14929,75,2024-07-04,220418.93
132105,595,2025-01-07,451331.81
154995,692,2024-07-01,401104.31
160451,715,2024-11-22,270087.75
98405,451,2024-01-26,477566.91
62515,286,2025-02-14,153060.64
19287,94,2025-03-21,361050.07
45076,208,2024-08-23,90778.77
12996,65,2024-08-27,81288.15
43433,198,2025-03-11,30799.17
140306,631,2025-03-23,421638.57
42402,195,2024-06-01,57288.52
176481,786,2024-09-24,437340.16
36857,169,2024-11-09,279638.16
68986,317,2025-03-08,279249.45
42763,196,2025-02-05,275999.96
31362,144,2025-03-24,346117.81
45173,208,2024-11-28,121731.66
64798,297,2024-07-25,205049.2
93462,430,2024-12-07,141011.41
58567,270,2025-03-23,425222.3
154966,692,2024-06-02,396861.08
123063,558,2025-01-04,87976.64
15620,77,2024-12-16,21682.23
87765,400,2024-11-13,491127.84
12126,59,2025-03-12,281745.22
31666,146,2024-04-17,184060.06
91614,420,2024-10-18,120390.21
107727,492,2024-10-14,290437.81
131969,595,2024-08-24,411609.15
120408,548,2024-07-27,310915.29
148728,668,2024-07-11,308696.63
16063,80,2024-02-02,36279.27
20788,102,2024-09-06,121914.28
178132,792,2024-03-04,376622.57
150311,676,2025-01-09,345368.33
73537,338,2024-05-27,285303.98
137382,620,2024-11-03,144123.77
174290,777,2024-08-08,10026.27
126739,577,2024-11-13,522678.36
66735,305,2024-06-14,288483.84
133278,600,2025-02-21,18024.44
153119,685,2024-11-08,391497.43
141796,638,2024-05-28,175945.15
2376,14,2025-02-05,263758.45
21885,106,2025-02-22,152524.84
106621,487,2025-02-22,198144.28
154454,690,2025-02-14,110194.05
31551,145,2025-03-17,356813.96
135221,610,2024-05-30,149068.13
114758,522,2024-12-25,150525.16
43593,201,2024-09-27,494231.47
143344,644,2024-11-18,53533.96
16281,80,2024-09-07,54044.97
43421,198,2025-02-27,31435.86
174600,778,2024-10-18,43788.82
107812,492,2025-01-07,317621.07
51007,237,2025-02-06,423720.22
169936,759,2024-11-17,266058.7
111733,511,2024-09-04,330739.02
46125,213,2024-08-12,441300.43
2533,16,2024-09-08,436636.99
50450,235,2024-04-23,439823.95
136063,614,2025-03-30,257684.04
47162,216,2025-02-07,334169.86
177422,789,2025-02-14,465072.18
163407,727,2024-05-15,489988.93
17912,88,2025-01-18,138852.62
149054,670,2024-12-02,62466.07
131215,593,2024-03-28,50993.13
137781,621,2024-12-16,242978.4
72141,330,2025-03-21,306963.62
67104,306,2024-10-03,136861.76
133653,604,2024-05-20,146286.62
35415,161,2025-02-19,434863.76
166369,741,2024-03-13,68080.23
37189,171,2024-08-16,415280.16
72513,332,2025-03-06,254104.46
44257,204,2024-07-29,495620.06
4658,27,2024-12-24,44477.49
108484,495,2025-02-05,262890.26
141392,637,2024-07-12,420342.51
122006,554,2024-06-16,417731.33
30265,139,2025-02-26,127319.23
142214,639,2024-09-27,397528.43
170980,765,2024-05-24,497924.8
25242,120,2025-03-31,458954.95
106522,487,2024-11-15,183060.32
3242,18,2025-01-01,135815.9
65627,300,2024-09-13,22863.64
171102,765,2024-09-23,506320.11
109372,502,2024-03-31,344168.9
13822,69,2024-10-01,306561.74
52434,244,2024-10-09,158642.3
40113,185,2024-09-20,100128.37
145083,653,2024-10-16,262217.22
79042,366,2024-01-25,127386.09
151429,680,2025-02-21,456484.3
168686,750,2025-01-02,432414.47
64656,295,2025-03-27,506716.12
144786,651,2025-03-01,374739.14
148506,666,2025-03-02,216080.94
109782,504,2024-08-09,390716.35
71260,328,2024-05-04,451595.81
74155,340,2025-02-17,382283.78
71931,330,2024-08-23,270094.69
25738,123,2024-11-04,32640.99
98934,452,2024-11-06,100346.42
96107,439,2025-02-20,226084.33
167595,745,2024-08-13,353343.08
144679,651,2024-11-14,367219.18
132071,595,2024-12-04,426596.24
4445,26,2025-01-09,443562.5
127700,580,2024-12-05,428094.75
158376,706,2024-12-16,269220.64
86867,396,2024-11-28,349442.35
159625,713,2025-01-12,499664.5
47333,217,2025-03-22,78825.58
120929,550,2024-09-01,305654.74
112295,513,2024-05-08,35746.43
98605,451,2024-08-13,459642.51
89078,406,2025-02-21,272135.71
74579,342,2024-09-13,158661.47
1636,11,2025-02-07,14500.65
118084,538,2024-05-21,458580.63
23690,114,2024-12-08,10788.95
176712,787,2024-03-17,82162.86
28566,132,2024-09-04,147611.26
153001,685,2024-07-13,390262.27
166286,740,2025-02-27,21994.28
121088,550,2025-02-07,337602.02
62199,285,2025-03-29,79937.39
113014,517,2024-05-25,26198.48
13669,69,2024-05-01,295015.35
4679,27,2025-01-14,47148.89
149762,675,2024-08-08,395013.77
18484,91,2024-03-20,262868.16
123627,563,2024-08-29,284020.79
81725,373,2025-01-27,80869.04
49718,228,2025-03-09,233334.03
28453,131,2025-01-14,186739.39
79846,367,2025-01-31,59092.67
69461,319,2024-12-01,175821.13
51710,240,2025-01-15,3815.05
129642,587,2025-01-30,187300.97
155146,692,2024-11-29,404147.48
154940,692,2024-05-07,396813.13
54547,255,2024-04-24,456322.89
175872,784,2024-06-24,168786.61
122854,557,2024-09-10,160801.89
175646,782,2025-02-12,315760.2
154906,691,2025-03-29,128386.7
93001,427,2024-11-24,335213.96
85543,392,2025-03-16,408493.4
38815,179,2024-07-25,363816.68
